Test,Session,LapNumber,Driver,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,Position,LapTimeSec,Sector1TimeSec,Sector2TimeSec,Sector3TimeSec
2,1,14.0,BOR,Audi,0 days 00:01:38.633000,0 days 00:00:31.233000,0 days 00:00:43.273000,0 days 00:00:24.127000,218.0,238.0,302.0,300.0,HARD,9.0,False,,98.633,31.233,43.273,24.127
2,1,15.0,BOR,Audi,0 days 00:01:38.301000,0 days 00:00:31.163000,0 days 00:00:43.200000,0 days 00:00:23.938000,218.0,238.0,303.0,301.0,HARD,10.0,False,,98.301,31.163,43.2,23.938
2,1,16.0,BOR,Audi,0 days 00:01:38.775000,0 days 00:00:31.257000,0 days 00:00:43.446000,0 days 00:00:24.072000,219.0,237.0,303.0,300.0,HARD,11.0,False,,98.775,31.257,43.446,24.072
2,1,17.0,BOR,Audi,0 days 00:01:38.384000,0 days 00:00:31.296000,0 days 00:00:43.167000,0 days 00:00:23.921000,219.0,238.0,304.0,301.0,HARD,12.0,False,,98.384,31.296,43.167,23.921
2,1,18.0,BOR,Audi,0 days 00:01:38.670000,0 days 00:00:31.104000,0 days 00:00:43.610000,0 days 00:00:23.956000,218.0,238.0,304.0,300.0,HARD,13.0,False,,98.67,31.104,43.61,23.956
2,1,19.0,BOR,Audi,0 days 00:01:38.331000,0 days 00:00:31.252000,0 days 00:00:43.063000,0 days 00:00:24.016000,219.0,239.0,304.0,300.0,HARD,14.0,False,,98.331,31.252,43.063,24.016
2,1,20.0,BOR,Audi,0 days 00:01:38.224000,0 days 00:00:31.118000,0 days 00:00:43.212000,0 days 00:00:23.894000,219.0,239.0,304.0,300.0,HARD,15.0,False,,98.224,31.118,43.212,23.894
2,1,21.0,BOR,Audi,0 days 00:01:38.472000,0 days 00:00:31.236000,0 days 00:00:43.307000,0 days 00:00:23.929000,219.0,239.0,304.0,301.0,HARD,16.0,False,,98.472,31.236,43.307,23.929
2,1,22.0,BOR,Audi,0 days 00:01:41.846000,0 days 00:00:31.142000,0 days 00:00:46.638000,0 days 00:00:24.066000,220.0,239.0,302.0,302.0,HARD,17.0,False,,101.846,31.142,46.638,24.066
2,1,23.0,BOR,Audi,0 days 00:01:38.665000,0 days 00:00:31.347000,0 days 00:00:43.318000,0 days 00:00:24,219.0,239.0,304.0,298.0,HARD,18.0,False,,98.665,31.347,43.318,24.0
2,1,24.0,BOR,Audi,0 days 00:01:42.180000,0 days 00:00:31.306000,0 days 00:00:43.560000,0 days 00:00:27.314000,219.0,246.0,,300.0,HARD,19.0,False,,102.18,31.306,43.56,27.314
2,1,25.0,BOR,Audi,0 days 00:02:08.260000,0 days 00:00:55.296000,0 days 00:00:44.280000,0 days 00:00:28.684000,219.0,243.0,,206.0,HARD,15.0,False,,128.26,55.296,44.28,28.684
2,1,26.0,BOR,Audi,,,0 days 00:00:47.464000,0 days 00:00:27.987000,219.0,217.0,290.0,186.0,HARD,1.0,True,,,,47.464,27.987
2,1,27.0,BOR,Audi,0 days 00:02:04.771000,0 days 00:00:38.665000,0 days 00:00:56.461000,0 days 00:00:29.645000,161.0,225.0,291.0,332.0,HARD,2.0,True,,124.771,38.665,56.461,29.645
2,1,28.0,BOR,Audi,0 days 00:01:36.278000,0 days 00:00:30.570000,0 days 00:00:42.181000,0 days 00:00:23.527000,223.0,249.0,293.0,326.0,HARD,3.0,True,,96.278,30.57,42.181,23.527
2,1,29.0,BOR,Audi,0 days 00:02:20.854000,0 days 00:00:53.253000,0 days 00:01:00.351000,0 days 00:00:27.250000,106.0,216.0,292.0,195.0,HARD,4.0,True,,140.854,53.253,60.351,27.25
2,1,30.0,BOR,Audi,0 days 00:01:36.162000,0 days 00:00:30.549000,0 days 00:00:42.071000,0 days 00:00:23.542000,221.0,250.0,289.0,322.0,HARD,5.0,True,,96.162,30.549,42.071,23.542
2,1,31.0,BOR,Audi,0 days 00:01:50.070000,0 days 00:00:33.736000,0 days 00:00:46.682000,0 days 00:00:29.652000,113.0,238.0,,294.0,HARD,6.0,True,,110.07,33.736,46.682,29.652
